nace_r2_code,nace_r2_name,year,valVA_Q,valVA_CP,valCOMP,valH_EMP,valEMPE,valEMP,valKq_GFCF,total_hours,valueLAB_QI,valueCAP_QI,valueLP1_G,valueLP1ConLC,valueLP2_G,valueLP2ConLC,valueLAB,valueCAP
A,"Agriculture, forestry and fishing",1995,97271.2711195734,64388,28515,531439,233.98,270.0,276127.343640977,613251.2607915207,188.655899047852,65.5014190673828,,,,,35063.16015625,29324.83984375
B,Mining and quarrying,1995,94037.2250024711,32401,16894,146412,89.68,89.71,116191.4055817,146460.9781445138,265.117431640625,77.1687393188477,,,,,16901.15625,15499.84375
C,Manufacturing,1995,380279.327107639,343570,166019,2440997,1265.27,1358.15,1087200.30012482,2620183.893991006,91.0034790039062,49.7685127258301,,,,,184618.953125,158951.046875
C10-C12,Manufacture of food products; beverages and tobacco products,1995,73455.6682038735,47185,19124,306217,150.18,163.7,130334.267410158,333784.2781994939,110.638221740723,74.3915557861328,,,,,21850.607421875,25334.392578125
C13-C15,"Manufacture of textiles, wearing apparel, leather and related products",1995,42253.4619204891,25566,16363,294922,156.71,166.62,60232.0780352393,313572.2266607109,264.296844482422,129.307540893555,,,,,17944.078125,7621.921875
C16-C18,"Manufacture of wood, paper, printing and reproduction",1995,27285.8395909391,25955,12369,242829,110.69,128.18,74747.7536681858,281198.1318999007,106.088287353516,58.3066101074219,,,,,15216.41015625,10738.58984375
C19,Manufacture of coke and refined petroleum products,1995,-2319.03659073678,8597,2190,20808,12.0,12.0,25450.5513910142,20808.0,1259.10815429688,177.83544921875,,,,,2190.84228515625,6406.15771484375
C20,Manufacture of chemicals and chemical products,1995,20181.1993596591,18782,5283,56036,32.15,32.54,85767.3832614317,56715.75241057542,94.5123596191406,92.3986053466797,,,,,5381.7294921875,13400.2705078125
C20-C21,Chemicals; basic pharmaceutical products,1995,28583.9341892891,27054,6441,70885,38.24,39.97,101336.870509958,74091.87892259414,92.5328140258789,80.7538223266602,,,,,6978.849609375,20075.150390625
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1995,10102.5932473566,8272,1158,14849,6.09,7.43,15133.2723028687,18116.26765188834,87.68896484375,48.0158424377441,,,,,1651.15625,6620.84375
C22-C23,Manufacture of rubber and plastic products and other non-metallic mineral products,1995,38637.8539503235,33434,17072,227131,123.72,129.84,134160.771488843,238366.3840931135,107.850662231445,54.9516296386719,,,,,18374.37109375,15059.62890625
C24-C25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",1995,144331.277788695,69679,33053,437901,227.78,244.6,189293.912930004,470237.0032487488,96.6944351196289,59.4294471740723,,,,,36704.58984375,32974.41015625
C26,"Manufacture of computer, electronic and optical products",1995,4421.92029383994,8549,3747,55209,30.07,31.53,17015.3898293259,57889.583305620225,73.8075790405273,10.013011932373,,,,,4023.888671875,4525.111328125
C26-C27,"Computer, electronic, optical products; electrical equipment",1995,14043.0982811959,21658,11045,178968,89.98,99.94,43962.9196319302,198778.1942653923,60.4357414245605,15.4571628570557,,,,,12915.3974609375,8742.6025390625
C27,Manufacture of electrical equipment,1995,10395.5651680385,13109,7298,123759,59.91,68.41,27466.8077098169,141317.86329494242,55.0043067932129,25.1889934539795,,,,,8886.1982421875,4222.8017578125
C28,Manufacture of machinery and equipment n.e.c.,1995,36033.11674397,33661,18480,246152,137.02,139.58,77127.468816506,250750.9572325208,108.595481872559,35.7756385803223,,,,,18995.4140625,14665.5859375
C29-C30,"Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment",1995,20163.0702098537,25855,14118,173725,102.01,102.34,206714.560289348,174286.99637290463,53.4144058227539,38.4189910888672,,,,,14189.2216796875,11665.7783203125
C31-C33,"Manufacture of furniture; jewellery, musical instruments, toys; repair and installation of machinery and equipment",1995,41384.5330313594,24926,15764,241459,116.94,131.38,47751.5684546778,271274.8710449803,84.2717208862305,42.9178085327148,,,,,18679.228515625,6246.771484375
D,"Electricity, gas, steam and air conditioning supply",1995,214935.841407678,63526,11310,88669,51.17,51.37,570405.139364978,89015.56634746921,133.782501220703,63.2531127929688,,,,,11364.6015625,52161.3984375
D-E,"Electricity, gas, steam; water supply, sewerage, waste management",1995,275018.009485668,77307,16975,168584,95.74,97.08,823224.127397561,170943.542093169,131.02082824707,63.5970649719238,,,,,17252.4375,60054.5625
E,"Water supply; sewerage, waste management and remediation activities",1995,63644.7988320244,13781,5665,79915,44.57,45.71,254981.840446004,81959.04532196544,131.856079101562,61.0375480651855,,,,,5831.74658203125,7949.25341796875
F,Construction,1995,427599.292774568,110995,62860,1009257,420.83,523.64,197212.99962391,1255821.4373499989,108.651611328125,45.2501449584961,,,,,82829.453125,28165.546875
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,1995,149977.914954649,152167,69578,1314872,539.22,690.72,373694.654937355,1684300.263046623,88.5355529785156,52.8339576721191,,,,,96054.1171875,56112.8828125
